Food Item,Calories (kcal),Protein (g),Fat (g),Carbohydrates (g),Dietary Fiber (g),Sodium (mg),Vitamin A (mcg RAE),Vitamin B1 (Thiamin) (mg),Vitamin B2 (Riboflavin) (mg),Vitamin B3 (Niacin) (mg),Vitamin B5 (Pantothenic Acid) (mg),Vitamin B6 (Pyridoxine) (mg),Vitamin B7 (Biotin) (mcg),Vitamin B9 (Folate) (mcg),Vitamin B12 (Cobalamin) (mcg),Vitamin C (mg),Vitamin D (mcg),Vitamin E (mg),Vitamin K (mcg),Choline (mg),Lutein + Zeaxanthin (mcg),Calcium (mg),Copper (mg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (mcg),Zinc (mg),Alanine (g),Arginine (g),Aspartic Acid (g),Cystine (g),Glutamic Acid (g),Glycine (g),Histidine (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Arsenic (ppm/ug),Cadmium (ppm/ug),Mercury (ppm/ug),Lead (ppm/ug)
Blueberry Total,0.49,0.005,0.001,0.129,0.033,0.01,0.03,0.0005,0.0005,0.002,0.001,0.0005,0.001,0.06,0,0.09,0,0.005,0.193,0.06,0.8,0.06,0.0005,0.002,0.06,0.003,0.11,0.7,0.001,0.001,0.0003,0.0003,0.0008,0.0001,0.0006,0.0002,0.0001,0.0002,0.0003,0.0003,0.0001,0.0002,0.0002,0.0002,0.0002,0.0001,0.0001,0.0003,0.0001,0.0001,0,0.0001
Blueberry % Daily Value (RDI),0.0245%,0.01%,0.0013%,0.0469%,0.118%,0.0004%,0.0033%,0.0417%,0.0384%,0.0125%,0.02%,0.0294%,0.0033%,0.015%,0%,0.1001%,0%,0.0333%,0.1612%,0.0109%,,0.0075%,0.0555%,0.0111%,0.0143%,0.1304%,0.0088%,0.0233%,0.0018%,0.0091%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Natto Total,2,0.165,0.1,0.12,0.0675,0.025,0,0.0008,0.0055,0.01,0.035,0.0025,0.18,1.2,0,0,0,0.005,6,0.5,0,0.9,0.006,0.0325,1,0.015,1.9,6.6,0.0875,0.0175,0.0066,0.0116,0.0181,0.0025,0.0297,0.0066,0.0041,0.0074,0.0132,0.0099,0.0025,0.0083,0.0083,0.0083,0.0066,0.0016,0.0058,0.0083,0.0003,0.0013,0.0001,0.0005
Natto % Daily Value (RDI),0.1%,0.3297%,0.1283%,0.0435%,0.2415%,0.001%,0%,0.0625%,0.423%,0.0625%,0.7%,0.147%,0.6003%,0.3%,0%,0%,0%,0.0333%,5.0103%,0.091%,,0.1125%,0.6665%,0.1805%,0.238%,0.6522%,0.152%,0.22%,0.1593%,0.159%,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.1,0.002,0.02
Romaine Lettuce Total,0.1666,0.0133,0.0034,0.0333,0.02,0.0667,4.3333,0.0006,0.0006,0.0034,0.0014,0.001,0.01,1.3334,0,0.04,0,0.0014,1,0.1,23,0.3334,0.0004,0.01,0.1333,0.0014,0.3,2.4667,0.0034,0.0023,0.0007,0.0007,0.002,0.0001,0.0016,0.0005,0.0003,0.0005,0.0008,0.0007,0.0001,0.0005,0.0005,0.0005,0.0005,0.0001,0.0003,0.0007,0.0001,0.0003,0,0.0001
Romaine Lettuce % Daily Value (RDI),0.0083%,0.0267%,0.0043%,0.0121%,0.0716%,0.0029%,0.482%,0.0542%,0.05%,0.021%,0.027%,0.0588%,0.0333%,0.3334%,0%,0.0445%,0%,0.009%,0.835%,0.0182%,,0.0416%,0.0389%,0.0555%,0.0318%,0.0587%,0.024%,0.0822%,0.0061%,0.0213%,,,,,,,,,,,,,,,,,,,,,,
